,employer,title,salary,submitDate,startDate,caseStatus,city,state
48,WEBLINC CORP,DATA SCIENTIST,62525,2015-03-20,2015-09-19,CERTIFIED,PHILADELPHIA,PA
49,FRACTAL ANALYTICS INC,DATA SCIENTIST,62795,2015-03-04,2015-09-01,CERTIFIED,JERSEY CITY,NJ
50,DATALINE INC,DATA SCIENTIST,62816,2015-03-10,2015-09-09,CERTIFIED,PRINCETON,NJ
51,RIFINITI INC,DATA SCIENTIST,63045,2015-03-03,2015-09-02,CERTIFIED,BOSTON,MA
52,RIFINITI INC,DATA SCIENTIST,63045,2015-03-03,2015-09-02,CERTIFIED,BOSTON,MA
53,CUBIST SYSTEMATIC STRATEGIES LLC,DATA SCIENTIST,63107,2015-02-18,2015-08-16,WITHDRAWN,NEW YORK,NY
54,POINT72 ASSET MANAGEMENT LP,DATA SCIENTIST,63107,2015-02-18,2015-08-16,CERTIFIED,NEW YORK,NY
55,POINT72 ASSET MANAGEMENT LP,DATA SCIENTIST,63107,2015-02-18,2015-08-16,CERTIFIED,NEW YORK,NY
56,OWNERIQ INC,DATA SCIENTIST,63500,2015-03-12,2015-09-11,CERTIFIED,BOSTON,MA
57,VANTAGE MEDIA LLC,DATA SCIENTIST,65000,2015-03-02,2015-09-01,CERTIFIED,EL SEGUNDO,CA
58,XACTWARE SOLUTIONS INC,DATA SCIENTIST,65000,2015-03-24,2015-09-15,CERTIFIED,LEHI,UT
59,VIRTUE GROUP LLC,DATA SCIENTIST,65500,2015-11-04,2015-11-09,CERTIFIED,ALPHARETTA,GA
60,VIRTUE GROUP LLC,DATA SCIENTIST,65500,2015-08-11,2015-08-11,CERTIFIED,ALPHARETTA,GA
61,PROTECTWISE INC,DATA SCIENTIST,66144,2015-02-27,2015-08-26,CERTIFIED,DENVER,CO
62,QCUE INC,DATA SCIENTIST,67000,2015-03-12,2015-03-13,CERTIFIED,AUSTIN,TX
63,SANDOKAN SOLUTIONS LLC,DATA SCIENTIST,68952,2015-03-18,2015-09-17,CERTIFIED,MT LAUREL,NJ
64,SANDOKAN SOLUTIONS LLC,DATA SCIENTIST,68952,2015-03-28,2015-09-27,CERTIFIED,MT LAUREL,NJ
65,WHOOP INC,DATA SCIENTIST,70000,2015-10-23,2015-11-12,CERTIFIED,BOSTON,MA
