,employer,title,salary,submitDate,startDate,caseStatus,city,state
6191,loansnap holdings inc,Data Scientist,94557,2018-07-03,2018-07-16,CERTIFIED,SAN FRANCISCO,CA
6192,google,Data Scientist,135000,2018-07-03,2018-07-16,CERTIFIED,NEW YORK,NY
6193,northwestern mutual life insurance company,Senior Data Scientist,125000,2018-07-03,2018-07-09,CERTIFIED,NEW YORK,NY
6194,aetna resources llc,Senior Data Scientist,160000,2018-07-03,2018-07-17,CERTIFIED,NEW YORK,NY
6195,google,Data Scientist,150000,2018-07-03,2018-07-16,CERTIFIED,MOUNTAIN VIEW,CA
6196,twilio inc,Senior Data Scientist,215000,2018-07-03,2018-07-09,CERTIFIED,SAN FRANCISCO,CA
6197,sas institute inc,Data Scientist,132100,2018-07-03,2018-08-01,WITHDRAWN,CARY,NC
6198,sas institute inc,Data Scientist,132100,2018-07-03,2018-08-01,CERTIFIED,CARY,NC
6199,dent-a-med inc d/b/a,Data Scientist,93150,2018-07-03,2018-07-30,CERTIFIED,DRAPER,UT
6200,amazon,Data Scientist,135000,2018-07-03,2018-07-17,CERTIFIED,PORTLAND,OR
6201,aetna resources llc,Senior Data Scientist,160000,2018-07-03,2018-07-17,CERTIFIED,NEW YORK,NY
6202,the boston consulting group inc,Senior Data Scientist,125000,2018-07-05,2018-09-10,CERTIFIED,BOSTON,MA
6203,apple inc,Data Scientist,150000,2018-07-05,2018-07-16,CERTIFIED,CUPERTINO,CA
6204,facebook inc,Data Scientist,155000,2018-07-05,2018-07-16,CERTIFIED,MENLO PARK,CA
6205,0956588 bc ltd,Data Scientist,90000,2018-07-05,2018-07-16,CERTIFIED,BELLEVUE,WA
6206,adecco group na/modis inc,Data Scientist,65500,2018-07-05,2018-08-06,CERTIFIED,DEARBORN,MI
6207,the boston consulting group inc,Data Scientist,95000,2018-07-06,2018-07-16,CERTIFIED,NEW YORK,NY
6208,airbnb inc,Data Scientist,150000,2018-07-06,2018-09-03,CERTIFIED,SAN FRANCISCO,CA
6209,zeroex inc,Lead Data Scientist,133000,2018-07-06,2018-07-30,CERTIFIED,SAN FRANCISCO,CA
6210,ebay inc,Data Scientist,142830,2018-07-06,2018-10-01,CERTIFIED,SAN FRANCISCO,CA
6211,amazon,Senior Data Scientist,150000,2018-07-09,2018-07-09,CERTIFIED,SEATTLE,WA
6212,facebook inc,Data Scientist,140000,2018-07-09,2018-07-23,CERTIFIED,SEATTLE,WA
6213,facebook inc,Data Scientist,140000,2018-07-09,2018-07-16,CERTIFIED,MENLO PARK,CA
6214,cloudix inc,Data Scientist,108000,2018-07-09,2018-08-01,CERTIFIED,REDMOND,WA
6215,wal-mart associates inc,Staff Data Scientist,173510,2018-07-09,2018-07-16,CERTIFIED,SUNNYVALE,CA
6216,wal-mart associates inc,Staff Data Scientist,173510,2018-07-09,2018-07-16,CERTIFIED,SUNNYVALE,CA
6217,wayfair llc,Data Scientist,75733,2018-07-09,2018-07-09,CERTIFIED,BOSTON,MA
