,employer,title,salary,submitDate,startDate,caseStatus,city,state
967,bell info solutions llc,Data Analyst,60000,2015-09-30,2015-09-30,CERTIFIED,HENDERSON,NV
968,nisum technologies inc,Senior Data Analyst,102000,2015-10-01,2016-03-31,CERTIFIED,SAN FRANCISCO,CA
969,okta inc,Staff Data Analyst,130000,2015-10-01,2015-10-19,CERTIFIED,SAN FRANCISCO,CA
970,wissen infotech inc,Data Analyst,55000,2015-10-01,2015-10-01,CERTIFIED,PLANO,TX
971,connexiz inc,Data Analyst,62462,2015-10-01,2015-10-01,CERTIFIED,MORRISTOWN,NJ
972,atri softech inc,Data Analyst,61000,2015-10-03,2015-10-12,CERTIFIED,DALLAS,TX
973,atri softech inc,Data Analyst,61000,2015-10-03,2015-10-12,CERTIFIED,DALLAS,TX
974,siri infosolutions inc,Data Analyst,72000,2015-10-05,2015-10-05,CERTIFIED,BELLEVUE,WA
975,om computer services llc,Data Analyst,82000,2015-10-05,2015-10-15,CERTIFIED,NEW YORK,NY
976,iquadra information services llc,Data Analyst,56909,2015-10-06,2015-12-20,CERTIFIED,ATLANTA,GA
977,yu certified public accountant pc,Data Analyst,90000,2015-10-06,2015-10-15,CERTIFIED,NEW YORK,NY
978,it cats llc,Data Analyst,95000,2015-10-07,2015-10-07,CERTIFIED,NEW YORK,NY
979,capital one services llc,Senior Data Analyst,89100,2015-10-08,2015-11-02,CERTIFIED,MCLEAN,VA
980,skr soft inc,Senior Data Analyst,65000,2015-10-08,2015-10-08,CERTIFIED,WEST DES MOINES,IA
981,infosys solutions inc,Data Analyst,75600,2015-10-08,2015-10-19,CERTIFIED,WEST TRENTON,NJ
982,incedo inc,Data Analyst,90000,2015-10-09,2015-10-09,CERTIFIED,SOUTH SAN FRANCISCO,CA
983,capital one services llc,Senior Data Analyst,70000,2015-10-09,2015-10-26,CERTIFIED,MCLEAN,VA
984,incedo inc,Data Analyst,97000,2015-10-09,2015-10-09,CERTIFIED,SOUTH SAN FRANCISCO,CA
985,collaborate solutions inc,Data Analyst,62005,2015-10-10,2015-10-26,CERTIFIED,SHREWSBURY,MA
986,scioinspire corporation,Senior Data Analyst,100000,2015-10-12,2015-10-19,CERTIFIED,WEST HARTFORD,CT
987,ulab inc,Data Analyst,59000,2015-10-12,2015-10-12,CERTIFIED,NEW YORK,NY
988,facebook inc,Data Analyst,95000,2015-10-12,2015-10-19,CERTIFIED,MENLO PARK,CA
989,hubspot inc,Data Analyst,85000,2015-10-13,2015-10-26,CERTIFIED,CAMBRIDGE,MA
990,charter global inc,Data Analyst,100000,2015-10-13,2016-03-23,CERTIFIED,DOVER,NH
991,prosper marketplace inc,Senior Data Analyst,104021,2015-10-13,2015-10-19,CERTIFIED,SAN FRANCISCO,CA
992,edge it corp,Data Analyst,60000,2015-10-14,2015-10-26,CERTIFIED,NEW YORK,NY
993,john hancock life insurance company (usa),Data Analyst,80000,2015-10-14,2015-10-19,CERTIFIED,BOSTON,MA
994,university of notre dame du lac,Data Analyst,61838,2015-10-15,2016-01-07,CERTIFIED,SOUTH BEND,IN
995,edge it corp,Data Analyst,63500,2015-10-15,2015-10-26,CERTIFIED,WILMINGTON,DE
996,microinfo inc,Data Analyst,56285,2015-10-15,2015-10-15,CERTIFIED,MILWAUKEE,WI
997,capital one services llc,Principal Data Analyst,89900,2015-10-15,2015-11-09,CERTIFIED,VIENNA,VA
998,fidelity brokerage services llc,Data Analyst,60154,2015-10-16,2015-10-19,CERTIFIED,DURHAM,NC
999,avco consulting inc,Data Analyst,75000,2015-10-16,2016-02-22,CERTIFIED,WORCESTER,MA
1000,confiminds llc,Data Analyst,65000,2015-10-19,2015-10-26,CERTIFIED,CHANDLER,AZ
1001,hcl global systems inc,Data Analyst,53300,2015-10-19,2015-10-19,CERTIFIED,CLEVELAND,TN
1002,yu certified public accountant pc,Data Analyst,62000,2015-10-20,2015-11-01,CERTIFIED,NEW YORK,NY
1003,squillion systems llc,Data Analyst,95680,2015-10-20,2015-11-02,CERTIFIED,BETHPAGE,NY
1004,technology insight corporation,Associate Data Analyst,45500,2015-10-21,2016-03-01,CERTIFIED,MARLBOROUGH,MA
1005,american institutes for research,Associate Data Analyst,48381,2015-10-22,2016-03-01,CERTIFIED,TALLAHASSEE,FL
1006,boomerang commerce inc,Senior Data Analyst,100000,2015-10-22,2015-11-02,CERTIFIED,MOUNTAIN VIEW,CA
1007,american institutes for research,Associate Data Analyst,48381,2015-10-22,2016-03-01,CERTIFIED,TALLAHASSEE,FL
1008,zynga inc,Senior Data Analyst,123594,2015-10-23,2015-10-29,CERTIFIED,SAN FRANCISCO,CA
1009,manthan systems inc,Data Analyst,100000,2015-10-23,2015-11-09,CERTIFIED,SAN JOSE,CA
1010,linkedin corporation,Data Analyst,106000,2015-10-23,2015-11-02,CERTIFIED,MOUNTAIN VIEW,CA
1011,surveymonkey inc,Data Analyst,120000,2015-10-26,2015-11-02,CERTIFIED,PALO ALTO,CA
1012,epitec inc,Data Analyst,84760,2015-10-26,2016-03-06,CERTIFIED,DEARBORN,MI
1013,esurance insurance services inc,Lead Data Analyst,132000,2015-10-26,2016-04-22,CERTIFIED,SAN FRANCISCO,CA
1014,m2 resources inc,Data Analyst,70000,2015-10-26,2015-10-26,CERTIFIED,GLEN ALLEN,VA
1015,starr insurance holdings inc,Data Analyst,65200,2015-10-26,2015-11-02,CERTIFIED,NEW YORK,NY
1016,radiumone inc,Data Analyst,95000,2015-10-27,2015-11-12,WITHDRAWN,SAN FRANCISCO,CA
1017,radiumone inc,Data Analyst,95000,2015-10-27,2015-11-12,CERTIFIED,SAN FRANCISCO,CA
1018,ibm india private limited,Data Analyst,74474,2015-10-27,2015-11-04,CERTIFIED,HOUSTON,TX
1019,american institutes for research,Data Analyst,71490,2015-10-28,2016-01-01,CERTIFIED,WASHINGTON,DC
1020,it cats llc,Data Analyst,95000,2015-11-02,2015-11-02,CERTIFIED,NEW YORK,NY
1021,capital one services llc,Principal Data Analyst,89100,2015-11-03,2015-11-16,CERTIFIED,MCLEAN,VA
1022,motorists mutual insurance company,Data Analyst,88305,2015-11-03,2016-03-11,CERTIFIED,COLUMBUS,OH
1023,nyse governance services inc,Senior Data Analyst,93000,2015-11-05,2015-11-16,CERTIFIED,NEW YORK,NY
1024,caresource,Data Analyst,87254,2015-11-05,2016-03-11,CERTIFIED,DAYTON,OH
1025,acxiom corporation,Data Analyst,59738,2015-11-06,2015-11-16,CERTIFIED,BURLINGTON,MA
1026,k-tek resourcing llc,Data Analyst,61000,2015-11-09,2015-11-20,CERTIFIED,DALLAS,TX
1027,logicatechinc,Data Analyst,70000,2015-11-09,2016-01-13,CERTIFIED,RESTON,VA
1028,national financial llc,Senior Data Analyst,62275,2015-11-09,2015-12-07,CERTIFIED,SMITHFIELD,RI
1029,cole-parmer instrument company,Data Analyst,70000,2015-11-11,2015-11-16,CERTIFIED,IRVING,TX
1030,adept computer consultants inc,Data Analyst,72000,2015-11-11,2015-11-16,CERTIFIED,PLANO,TX
1031,calise partnersllc,Data Analyst,70000,2015-11-11,2015-12-02,CERTIFIED,DALLAS,TX
1032,cem technology inc,Data Analyst,58000,2015-11-11,2015-11-11,CERTIFIED,WILMINGTON,DE
1033,diyotta inc,Data Analyst,70000,2015-11-12,2015-11-16,CERTIFIED,CHARLOTTE,NC
1034,inovalon inc,Senior Data Analyst,100000,2015-11-12,2015-11-16,CERTIFIED,HERNDON,VA
1035,capital one national association,Senior Data Analyst,65000,2015-11-13,2015-12-07,CERTIFIED,GLEN ALLEN,VA
1036,teksystems inc,Data Analyst,72300,2015-11-16,2015-11-20,CERTIFIED,TROY,MI
1037,capital one services llc,Senior Data Analyst,77700,2015-11-16,2015-12-07,CERTIFIED,PLANO,TX
1038,gulfstream diagnostics llc,Senior Data Analyst,100000,2015-11-16,2015-11-23,CERTIFIED,DALLAS,TX
1039,capital one services llc,Senior Data Analyst,85500,2015-11-17,2015-11-30,CERTIFIED,ROLLING MEADOWS,IL
1040,protege llc,Data Analyst,70000,2015-11-17,2015-11-18,CERTIFIED,JACKSONVILLE,FL
1041,elan technologies inc,Data Analyst,70000,2015-11-18,2015-11-25,CERTIFIED,IRVING,TX
1042,c-vision inc,Data Analyst,60000,2015-11-18,2015-12-01,CERTIFIED,TROY,MI
1043,liberty mutual group asset management,Principal Data Analyst,103189,2015-11-19,2016-02-29,CERTIFIED,BOSTON,MA
1044,hanusoft inc,Data Analyst,75000,2015-11-20,2016-04-01,CERTIFIED,RICHMOND,VA
1045,concur technologies inc,Data Analyst,93280,2015-11-20,2016-03-18,CERTIFIED,SAN FRANCISCO,CA
1046,fusion plus solutions inc,Data Analyst,72000,2015-11-20,2015-11-20,CERTIFIED,REDWOOD CITY,CA
1047,ihs global inc,Senior Data Analyst,81200,2015-11-24,2016-01-16,CERTIFIED,WASHINGTON DC,DC
1048,utc associates inc,Data Analyst,55744,2015-11-25,2015-12-28,CERTIFIED,NEW YORK,NY
1049,apple inc,Data Analyst,75000,2015-11-25,2015-12-07,CERTIFIED,CUPERTINO,CA
1050,swiss re management (us) corporation,Senior Data Analyst,130000,2015-11-25,2015-12-28,CERTIFIED,ARMONK,NY
1051,valtech services inc,Data Analyst,102648,2015-12-01,2015-12-14,CERTIFIED,PLANO,TX
1052,e*trade financial corporation,Lead Data Analyst,112900,2015-12-01,2015-12-14,CERTIFIED,JERSEY CITY,NJ
1053,valtech services inc,Data Analyst,103648,2015-12-01,2015-12-14,CERTIFIED,PLANO,TX
1054,c-vision inc,Data Analyst,60000,2015-12-02,2015-12-10,CERTIFIED,AUBURN HILLS,MI
1055,microinfo inc,Data Analyst,60000,2015-12-03,2015-12-03,CERTIFIED,MEQUON,WI
1056,american infosys inc,Data Analyst,65000,2015-12-04,2016-03-04,CERTIFIED,RICHARDSON,TX
1057,bell info solutions llc,Data Analyst,60000,2015-12-07,2015-12-09,CERTIFIED,WINDSOR MILL,MD
1058,agap technologies inc,Data Analyst,56680,2015-12-08,2015-12-15,CERTIFIED,DES MOINES,IA
1059,ads alliance data systems inc,Senior Data Analyst,78818,2015-12-08,2016-05-01,CERTIFIED,WAKEFIELD,MD
1060,capital one services llc,Senior Data Analyst,77700,2015-12-08,2016-01-04,CERTIFIED,RICHMOND,VA
1061,capital one services llc,Principal Data Analyst,64100,2015-12-08,2016-04-19,CERTIFIED,PLANO,TX
1062,paypal inc,Data Analyst,115000,2015-12-09,2016-06-05,CERTIFIED,SAN JOSE,CA
1063,mckinsey & company inc united states,Data Analyst,87900,2015-12-09,2016-01-01,CERTIFIED,WALTHAM,MA
1064,analysts international corporation,Data Analyst,80000,2015-12-09,2016-02-02,CERTIFIED,ATLANTA,GA
1065,legend solutions llc,Senior Data Analyst,105000,2015-12-09,2015-12-14,CERTIFIED,HOUSTON,TX
1066,child mind institute inc,Data Analyst,52440,2015-12-09,2015-12-23,DENIED,NEW YORK,NY
1067,ads alliance data systems inc,Data Analyst,65000,2015-12-10,2015-12-10,CERTIFIED,BLUE ASH,OH
1068,capital one national association,Senior Data Analyst,77700,2015-12-11,2016-01-11,CERTIFIED,WILMINGTON,DE
1069,child mind institute inc,Data Analyst,52440,2015-12-11,2015-12-23,CERTIFIED,NEW YORK,NY
1070,fusion plus solutions inc,Data Analyst,72000,2015-12-11,2015-12-11,CERTIFIED,REDWOOD CITY,CA
1071,pan oceanic chartering inc,Data Analyst,52000,2015-12-14,2015-12-22,WITHDRAWN,EAST RUTHERFORD,NJ
1072,pan oceanic chartering inc,Data Analyst,65000,2015-12-14,2015-12-22,CERTIFIED,EAST RUTHERFORD,NJ
1073,wayfair llc,Data Analyst,42765,2015-12-15,2015-12-21,CERTIFIED,BOSTON,MA
